Id,Designator,Package,Quantity,Total,Designation,Supplier and ref,RS PN,Price ea,MOQ,Order Quantity,Cost,,,,,Build Count,10
1,R14R15R11,R_0603_1608Metric,3,30,100,,7408798,£0.02,50,50,£0.90,,,,,,
3,C9C5,C_0603_1608Metric,2,20,470nF,,135-8336,£0.01,100,100,£0.80,,,,,,
4,C8C4C3,C_0603_1608Metric,3,30,100n,,698-3251,£0.01,100,100,£0.80,,,,,,
5,C7C6,C_0603_1608Metric,2,20,20p,,147-415,£0.02,50,50,£1.05,,,,,,
6,R12R9R5,R_0603_1608Metric,3,30,10k,,4708805,£0.02,50,50,£0.85,,,,,,
7,R10R8,R_0603_1608Metric,3,30,1k,,213-2266,£0.04,50,50,£1.80,,,,,,
8,R13,R_0603_1608Metric,0,0,750,,,,,0,£0.00,,Replace with 1k,,,,
9,R2R1,R_0603_1608Metric,2,20,18k,,678-9857,£0.04,50,50,£2.20,,,,,,
10,R4R3,R_0603_1608Metric,2,20,1.3k,,678-9897,£0.05,50,50,£2.25,,,,,,
11,Q3,STD35P6LLF6,1,10,STD35P6LLF6,,790-4625,£0.47,10,10,£4.74,,,,,,
12,J3,PinHeader_1x04_P2.54mm_Vertical,1,10,Conn_01x04,,,,,10,£0.00,,,,,,
13,J2,PinHeader_2x03_P2.54mm_Vertical,1,10,AVR-ISP-6,,,,,10,£0.00,,,,,,
14,J4,PinHeader_1x02_P2.54mm_Vertical,1,10,Conn_01x02_Female,,,,,10,£0.00,,,,,,
15,J1,PinHeader_1x04_P2.54mm_Vertical,1,10,Conn_01x04_Female,,,,,10,£0.00,,,,,,
16,U2,SOT-23,1,10,LM3480-3.3,,208-8586,£0.80,10,10,£8.03,,,,,,
17,Q2Q1,SOT95P240X115-3N (SOT23),2,20,Q_NPN_BEC,,287-667,£0.15,10,20,£3.02,,,,,,
18,F1,FUSC3226X100N,1,10,1210L020WR,,647-8241,£0.24,10,10,£2.44,,,,,,
19,D10D9D8D6,LED_0805_2012Metric_Castellated,4,40,LED,,654-5773,£0.14,50,50,£7.00,,,,,,
20,D7,DO-214ACSMA,1,10,20v TVS,,195-2380,£0.07,25,25,£1.65,,,,,,
21,C2C1,C_0603_1608Metric,2,20,10u,,815-1377,£0.25,25,25,£6.33,,,,,,
22,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,10,Crystal_GND24,,,,,10,£0.00,,,,,,
23,D1,D_SOD-323F,1,10,20v,,,,,10,£0.00,,,,,,
24,U1,TQFP-32_7x7mm_P0.8mm,1,10,ATmega328P-AU,,,,,10,£0.00,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Total,£43.86,,,,,,
